,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
40602,1120000.0,1939.0,898000.0,90034,Single Family Residence,3.0,2.0,34.02068,-118.415118,1657.0,1.0,6002.0,2017-07-28,1,1,0,0,0,1,0,0,1,1,1,0,0,0,81.0,7,2017,0,2017-06-28,2.22
40603,850000.0,1938.0,749000.0,90034,Single Family Residence,2.0,1.0,34.039295,-118.381706,976.0,1.0,4999.0,2017-06-30,1,1,0,0,0,1,0,1,1,1,1,0,0,0,82.0,6,2017,0,2017-05-31,2.21
40604,2075000.0,2015.0,2125000.0,90034,Single Family Residence,4.0,5.0,34.029215,-118.421902,2844.0,2.0,5807.0,2017-07-26,1,1,0,0,0,1,1,1,1,1,1,1,0,1,5.0,7,2017,0,2017-06-26,2.14
40605,1700000.0,1941.0,1665000.0,90034,Single Family Residence,3.0,3.0,34.018415999999995,-118.418725,2220.0,1.0,5776.0,2017-07-12,1,1,0,0,0,1,1,1,1,1,1,1,0,0,79.0,7,2017,0,2017-06-12,2.21
40606,933000.0,1924.0,895000.0,90034,Single Family Residence,3.0,1.0,34.035853,-118.383499,1176.0,1.0,5401.0,2017-07-07,1,1,0,0,0,1,0,1,1,1,1,0,0,0,96.0,7,2017,0,2017-06-07,2.18
40607,460000.0,1976.0,415000.0,90034,Condominium,1.0,1.0,34.030374,-118.412593,791.0,1.0,27106.0,2017-08-04,0,0,1,0,0,1,0,1,0,1,1,0,0,1,44.0,8,2017,0,2017-07-05,2.33
40609,941180.0,1941.0,950000.0,90034,Single Family Residence,3.0,2.0,34.041847,-118.374948,1761.0,1.0,6587.0,2017-06-29,0,1,0,0,0,1,0,1,0,0,0,0,0,0,79.0,6,2017,0,2017-05-30,2.21
40610,905000.0,2007.0,779000.0,90034,Condominium,2.0,3.0,34.026888,-118.401182,1680.0,1.0,5871.0,2017-07-21,0,0,1,0,0,1,1,0,1,0,1,1,0,1,13.0,7,2017,0,2017-06-21,2.16
40611,810000.0,1947.0,765000.0,90034,Single Family Residence,3.0,2.0,34.013185,-118.418292,1376.0,1.0,6396.0,2017-06-15,1,1,0,0,0,1,1,1,1,1,1,0,0,0,73.0,6,2017,0,2017-05-16,2.33
40612,1500000.0,1947.0,1299000.0,90034,Single Family Residence,4.0,2.0,34.040692,-118.39006100000002,1512.0,2.0,6500.0,2017-06-23,1,1,0,0,0,1,1,1,1,1,1,1,0,1,73.0,6,2017,0,2017-05-24,2.26
